Predicted PPI for   oig-5 and   syg-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-5 and   lad-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-5 and   rig-6   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-5 and   sax-7   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-5 and  igdb-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-5 and   ptp-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-5 and C27B7.7   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   oig-8   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   oig-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   oig-7   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   oig-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   oig-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   oig-6   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  zig-10   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-7   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-6   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-4   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-5   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-8   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   zig-9   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   rig-5   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   wrk-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   cam-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   rig-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  egl-15   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   syg-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  igcm-4   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   ptp-4   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  igdb-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  igcm-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  igcm-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   clr-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   ver-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   ver-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   ver-4   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   rig-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  igcm-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   sax-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  ncam-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  igdb-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  unc-40   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   syg-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   lad-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   rig-6   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   sax-7   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and  igdb-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and   ptp-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-8 and C27B7.7   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   oig-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   oig-7   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   oig-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   oig-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   oig-6   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and  zig-10   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-2   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-7   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-6   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-4   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-5   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-8   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   zig-9   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   rig-5   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   wrk-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   cam-1   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
Predicted PPI for   oig-3 and   rig-3   SVM Score:    0.000   RF Socre:    0.000   BPNN Score:    0.000   Concensus Score   0.000   Final Score:    0.000
